# Data 1

list(n = 619)

# Data 2

air_temperature[]   cloud[]   gsr[]   hum[]   sap[]   rain[]   snow[]   feb[]   mar[]   apr[]   may[]   jun[]   jul[]   aug[]   sep[]   oct[]   nov[]   dec[]   hom_1[]   hom_2[]   hom_3[]
3.6  3.6  9.2  54.0  5.327631578947489  39.0  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4.5  3.7  12.1  49.0  1.9276315789473983  43.5  0.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
8.2  6.3  13.9  61.0  7.027631578947421  106.6  4.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
14.9  6.3  16.4  63.0  4.027631578947421  183.1  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
19.8  7.5  15.9  69.0  1.3276315789474893  55.5  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
22.6  7.9  14.7  75.0  -0.8723684210525562  305.5  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
27.4  7.4  16.7  74.0  -1.972368421052579  29.5  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
26.8  7.1  13.4  77.0  -0.6723684210525107  30.9  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
25.3  5.9  12.7  72.0  3.127631578947444  37.0  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
18.3  8.5  7.6  78.0  5.627631578947444  338.4  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
12.7  5.9  9.1  63.0  9.227631578947467  50.7  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
7.2  2.9  8.4  58.0  3.8276315789474893  40.5  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
4.5  3.8  9.0  52.0  0.027631578947421076  40.5  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5.9  4.1  11.3  48.0  4.2276315789474666  13.5  0.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
8.2  4.7  12.3  58.0  1.9276315789473983  65.5  0.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
14.1  6.2  15.0  61.0  5.427631578947398  124.2  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
18.4  7.2  13.9  70.0  0.8276315789474893  211.5  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
20.9  8.8  11.5  76.0  -1.472368421052579  244.5  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
25.1  7.8  11.9  81.0  -0.9723684210525789  166.9  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
28.1  5.3  16.2  71.0  -0.1723684210525107  50.1  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
24.5  6.9  12.1  70.0  2.7276315789474666  4.9  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
16.7  6.6  8.7  70.0  6.827631578947489  119.8  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
11.3  6.2  6.9  71.0  9.027631578947421  151.8  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
7.0  3.6  7.0  62.0  5.527631578947421  62.8  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
3.2  2.0  10.0  46.0  -6.672368421052511  0.2  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4.8  4.9  12.8  48.0  3.627631578947444  21.3  0.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
7.6  5.5  13.4  59.0  4.827631578947489  86.7  8.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
13.9  6.7  15.7  68.0  8.627631578947444  76.1  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
18.4  8.6  12.6  74.0  3.127631578947444  135.1  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
21.8  8.4  12.6  78.0  1.3276315789474893  248.2  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
25.7  7.9  14.2  76.0  -0.07236842105260166  65.9  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
26.6  7.6  13.2  77.0  -2.6723684210525107  382.2  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
21.4  8.3  10.4  73.0  1.027631578947421  144.2  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
16.3  6.9  9.7  74.0  6.927631578947398  294.7  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
12.1  6.0  9.1  65.0  7.2276315789474666  90.6  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
8.1  3.8  8.0  59.0  6.327631578947489  29.8  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
5.4  6.6  6.6  60.0  7.627631578947444  144.6  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4.2  6.3  10.5  56.0  9.127631578947444  64.0  10.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
7.6  5.9  13.3  57.0  5.2276315789474666  99.7  0.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
15.3  8.7  11.8  75.0  9.32763157894749  94.2  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
18.9  7.1  16.7  67.0  3.8276315789474893  80.4  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
21.5  8.6  12.8  73.0  -2.7723684210525334  139.9  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
25.5  7.8  13.0  80.0  -2.372368421052556  45.9  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
27.8  7.2  14.2  77.0  -1.2723684210525334  110.8  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
22.3  8.7  9.4  77.0  2.527631578947421  132.4  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
7.5  5.0  7.2  60.0  8.627631578947444  47.5  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
17.2  7.7  14.0  72.0  -2.372368421052556  400.0  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
12.7  6.2  8.0  61.0  3.8276315789474893  131.5  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
4.6  3.0  8.5  46.0  0.42763157894739834  23.6  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
7.2  5.5  9.3  51.0  0.9276315789473983  122.0  0.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
9.6  6.6  10.5  57.0  -2.972368421052579  99.9  0.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
13.6  7.8  11.2  68.0  0.7276315789474666  133.7  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
17.9  6.0  16.1  62.0  -1.6723684210525107  196.2  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
20.1  8.7  11.9  73.0  -3.472368421052579  510.2  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
24.4  8.3  10.9  76.0  -4.7723684210525334  160.8  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
26.9  6.7  13.6  71.0  -3.972368421052579  54.5  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
23.2  8.2  9.7  73.0  -2.972368421052579  197.1  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
18.9  5.5  10.4  65.0  1.6276315789474438  108.5  0.0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
12.9  5.9  7.9  57.0  2.9276315789473983  29.0  0.0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
6.6  4.8  7.2  47.0  2.3276315789474893  8.0  0.0  0  0  0  0  0  0  0  0  0  0  1  0  0  0
4.4  3.2  8.2  46.0  1.4276315789473983  32.2  0.0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4.9  5.0  9.6  57.0  4.2276315789474666  43.8  24.0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
9.5  5.3  11.5  54.0  1.7276315789474666  69.7  0.0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
14.5  7.0  12.6  58.0  4.827631578947489  104.7  0.0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
20.0  6.3  16.8  62.0  -1.6723684210525107  49.3  0.0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
23.0  7.4  14.6  67.0  -7.672368421052511  109.3  0.0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
26.3  7.9  12.8  73.0  -6.172368421052511  89.2  0.0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
28.0  7.4  12.3  67.0  -6.7723684210525334  67.3  0.0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
22.6  8.4  8.6  74.0  -3.472368421052579  148.8  0.0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
